ndc_clean,shape,colors,imprint,size_mm
55111033901,CAPSULE,"YELLOW, WHITE",RDY;339,19
59762102001,CAPSULE,"BLUE, PINK",A44,19
10337081506,CAPSULE,ORANGE,ADOXA;150mg,23
55111034001,CAPSULE,"RED, WHITE",RDY;340,19
00597000160,CAPSULE,"RED, WHITE",01A,24
61442011101,CAPSULE,"BLUE, WHITE",200;CTI;111,19
54092017212,CAPSULE,"GRAY, GREEN",Shire;CARBATROL;200;mg,20
00591321901,CAPSULE,"GREEN, YELLOW",WATSON;3219,22
51991007301,CAPSULE,"BLUE, GRAY",B;073,22
67253018010,CAPSULE,"GRAY, BLUE",WC;402;WC;402,18
67253018110,CAPSULE,"GRAY, BLUE",WC;404;WC;404,24
00143998601,CAPSULE,"PURPLE, GRAY",West;ward;986,24
00591312001,CAPSULE,PINK,DAN;3120;DAN;3120,23
51672401105,CAPSULE,"BLUE, TURQUOISE",CLOM;25;CLOM;25,18
00781235510,CAPSULE,"PINK, BLACK",TAP;PREVACID;30,19
00228257750,CAPSULE,"GREEN, TURQUOISE",R;2577;R;2577,22
00555063402,CAPSULE,"YELLOW, YELLOW",barr;634,16
00527058610,CAPSULE,BLUE,LANNETT;0586,14
55111053201,CAPSULE,"WHITE, BLUE",THIS;END;UP;RDY532,19
00591041150,CAPSULE,"BROWN, WHITE",WATSON;411;100;mg,19
00143314205,CAPSULE,TURQUOISE,West;ward;3142,21
00378425001,CAPSULE,YELLOW,MYLAN;4250;MYLAN;4250,18
00093738598,CAPSULE,BROWN,93;7385;93;7385,19
00115053301,CAPSULE,ORANGE,G;0533;G;0533,19
51991007401,CAPSULE,"BLUE, YELLOW",B;074,22
51991070390,CAPSULE,"ORANGE, GRAY",B;703,22
65862001701,CAPSULE,"BLUE, PINK",A45,23
00009033102,CAPSULE,GREEN,CLEOCIN;75;mg;CLEOCIN;75;mg,16
65862019905,CAPSULE,YELLOW,D;03,20
53746010305,CAPSULE,BROWN,IP;103;IP;103,21
31722022305,CAPSULE,ORANGE,IG323;400;mg,22
31722022101,CAPSULE,WHITE,IG321;100mg,16
00591034705,CAPSULE,"WHITE, TURQUOISE",WATSON;347;12;5;mg,14
00378014705,CAPSULE,GREEN,MYLAN;147;MYLAN;147,20
00781232510,CAPSULE,GREEN,GG;517;GG;517,16
24090047988,CAPSULE,BLUE,INDERAL;LA;160,19
68180031506,CAPSULE,"YELLOW, ORANGE",LU;U02,19
00591080101,CAPSULE,"GREEN, WHITE",WATSON;801;50;mg,19
10147170003,CAPSULE,"BLUE, PINK",PP;100,22
00078017615,CAPSULE,"BROWN, WHITE",20;LESCOL,16
55111039830,CAPSULE,"PINK, GREEN",RDY;398,16
00781235331,CAPSULE,"GREEN, PINK",TAP;PREVACID;15,16
63304069605,CAPSULE,"GRAY, WHITE",RX696;RX696,18
00591315301,CAPSULE,"WHITE, YELLOW",WPI;MINOCYCLINE;75,16
00591569401,CAPSULE,YELLOW,MINOCYCLINE;50;DAN;5694,16
00591037001,CAPSULE,"WHITE, YELLOW",Watson;370;10;mg,18
62175011432,CAPSULE,WHITE,KU;114,18
55111015730,CAPSULE,"YELLOW, PURPLE",OMEPRAZOLE;10;mg;R;157,16
49884045511,CAPSULE,"BLUE, WHITE",par;455,24
55111015901,CAPSULE,"YELLOW, PURPLE",OMEPRAZOLE;40;mg;R;159,23
00591578801,CAPSULE,WHITE,NORTRIPTYLINE;DAN;50;mg,19
00093081201,CAPSULE,WHITE,TEVA;50mg;0812,19
00185012201,CAPSULE,"BLACK, WHITE",E;122,22
00591313760,CAPSULE,WHITE,3137;WPI,18
65862019399,CAPSULE,"GREEN, WHITE",E;91,16
13310015307,CAPSULE,WHITE,AR;102;AR;102,22
00054010729,CAPSULE,ORANGE,54;794;54;794,14
43478090388,CAPSULE,"BLUE, TURQUOISE",AK;160,20
43478090088,CAPSULE,WHITE,AK;60,16
